"","author","datetimestamp","description","heading","id","language","origin"
"2546",NA,2010-01-26,NA,"Transcript: ECB President Trichet; 'We have to considerably reinforce the resilience of the financial system.'","WSJO-100126-e","en","The Wall Street Journal"
"2547","By Christopher Emsden                And Andrea Thomas",2010-01-26,NA,"German Confidence Rises Strongly, But ECB Official Warns On Deficit","WSJO-100126-e","en","The Wall Street Journal"
"2548","Atkins, Ralph",2010-01-26,NA,"The race to succeed Trichet at the ECB","FTFT-100126-e","en","Financial Times"
"2549","By Terence Roth",2010-01-21,NA,"Europe News: ECB's Stark sees a slow half","WSJE-100121-e","en","The Wall Street Journal"
"2550","By Gerrit Wiesmann in Berlin, Ben Hall in Paris and Tony Barber in Brussels",2010-01-21,NA,"Berlin pushes bank head for ECB top job","FTFT-100121-e","en","Financial Times"
"2551","By Brian Blackstone",2010-01-20,NA,"Europe News: Germany's Weber seen in ECB race --- Blunt-spoken Bundesbank chief and Bank of Italy's Draghi considered top contenders for presidency after Trichet","WSJE-100120-e","en","The Wall Street Journal"
"2552","By Brian Blackstone                And Nina Koeppen",2010-01-20,NA,"Germany's Weber Seen in Race for ECB Presidency","WSJO-100120-e","en","The Wall Street Journal"
"2553","By Brian Blackstone",2010-01-15,NA,"World News: Trichet Rejects 'Special' ECB Help for Greece","J-100115-e","en","The Wall Street Journal"
"2554","By Ralph Atkins in Frankfurt, Kerin Hope in Athens and David Oakley in London",2010-01-15,NA,"ECB warns indebted states of backlash","FTFT-100115-e","en","Financial Times"
"2555","By Brian Blackstone",2010-01-15,NA,"Trichet Rejects 'Special' ECB Help for Greece","WSJO-100115-e","en","The Wall Street Journal"
"2556","By Ralph Atkins in Frankfurt, Kerin Hope in Athens and David Oakley in London",2010-01-14,NA,"ECB warning to debt-ridden governments","FTCOM-100114-e","en","Financial Times"
"2557","By Brian Blackstone",2010-01-07,NA,"ECB official rules out Greek aid","WSJE-100107-e","en","The Wall Street Journal"
"2558","By Brian Blackstone",2010-01-07,NA,"ECB's Stark Denies Aid For Greece","J-100107-e","en","The Wall Street Journal"
"2559","Atkins, Ralph",2010-01-07,NA,"No help for Greece from the ECB","FTFT-100107-e","en","Financial Times"
"2560","By Brian Blackstone",2010-01-07,NA,"ECB's Stark Denies Aid for Greece","WSJO-100107-e","en","The Wall Street Journal"
"2561","By Alice Ross in Frankfurt and Claire Jones in London",2013-12-20,NA,"ECB fails to draw enough women to fill jobs quota","FTFT-131220-e","en","Financial Times"
"2562","By Alex Barker and Peter Spiegel in Brussels",2013-12-19,NA,"ECB hits at banking union blueprint","FTFT-131219-e","en","Financial Times"
"2563","By Delphine Strauss and Ralph Atkins",2013-12-18,NA,"Resilient euro poses ECB policy dilemma; News analysis","FTFT-131218-e","en","Financial Times"
"2564",NA,2013-12-18,NA,"Wind-up plan needs ECB to plug gap","FTFT-131218-e","en","Financial Times"
"2565",NA,2013-12-17,NA,"Asmussen departs; New German ECB board member should be open-minded","FTFT-131217-e","en","Financial Times"
"2566","Friedrich Geiger",2013-12-17,NA,"Bundesbank's No. 2 Nominated to ECB Post","WSJO-131217-e","en","The Wall Street Journal"
"2567","Richard Blackden",2013-12-16,NA,"ECB’s Draghi: Asmussen needs replacing soon","FTCOM-171106-e","en","Financial Times"
"2568","By Stefan Wagstyl in Berlin, Peter Spiegel in Brussels and Claire Jones in London",2013-12-16,NA,"ECB high-flyer quits to become junior minister","FTFT-131216-e","en","Financial Times"
"2569","By Brian Blackstone",2013-12-16,NA,"World News: ECB Official Joins German Government","J-131216-e","en","The Wall Street Journal"
"2570","Brian Blackstone",2013-12-16,NA,"ECB Chief Urges Action on Banking Authority; Mario Draghi Calls On EU Governments to Step Up Efforts as He Warns on Current Plans","WSJO-131216-e","en","The Wall Street Journal"
"2571","By Brian Blackstone",2013-12-16,NA,"Europe News: Asmussen Quits ECB to Join Merkel's Government","WSJE-131216-e","en","The Wall Street Journal"
"2572","Brian Blackstone",2013-12-15,NA,"Asmussen Quits ECB to Join Merkel's Government; Executive-Board Member's Departure Leaves Central Bank Without Key German Official","WSJO-131215-e","en","The Wall Street Journal"
"2573","Christopher Lawton",2013-12-13,NA,"Euro-zone Bank Repayments of ECB Loans Rise Sharply; Higher Repayment Unlikely to Signal Trend but Could Boost Banks' Borrowing Costs","WSJO-131213-e","en","The Wall Street Journal"
"2574","By Claire Jones in Frankfurt",2013-12-12,NA,"ECB set to get tough on sovereign debt risk","FTFT-131212-e","en","Financial Times"
"2575","By Sam Fleming and Alex Barker",2013-12-12,NA,"Credibility test; ECB","FTFT-131212-e","en","Financial Times"
"2576","By Claire Jones in Frankfurt",2013-12-12,NA,"Dual role for ECB designed to drive recovery in lending; Bank stress tests","FTFT-131212-e","en","Financial Times"
"2577","By Claire Jones in Frankfurt",2013-12-11,NA,"Transcript of interview with ECB's Peter Praet","FTCOM-131211-e","en","Financial Times"
"2578","Richard Barley",2013-12-10,NA,"Euro Claims the High Ground; ECB Reticence, Tightening Liquidity, Hefty Fund Flows Mean Currency Likely to Stay Buoyant","WSJO-131210-e","en","The Wall Street Journal"
"2579","Christopher Lawton",2013-12-06,NA,"ECB Sees Banking Union as Key Integration Step; Executive Board Member Coeuré Sees 'Quantum Leap' It Has Long Sought","WSJO-131206-e","en","The Wall Street Journal"
"2580","By Claire Jones",2013-12-05,NA,"Small inflation rise gives ECB little reason for further rate cut; Eurozone","FTFT-131205-e","en","Financial Times"
"2581","By Claire Jones in Frankfurt",2013-12-05,NA,"ECB warns growth and inflation to stay low","FTCOM-131205-e","en","Financial Times"
"2582","By Claire Jones in Frankfurt",2013-12-05,NA,"European Central Bank keeps interest rates on hold","FTCOM-131205-e","en","Financial Times"
"2583","By FastFT",2013-12-05,NA,"Shares fall as ECB and BoE calls loom","FTCOM-131205-e","en","Financial Times"
"2584","Brian Blackstone",2013-12-05,NA,"ECB President Says Bank is 'Ready and Able to Act'; Bank Holds Rates Unchanged; Inflation Seen Remaining Below 2% Target","WSJO-131205-e","en","The Wall Street Journal"
"2585","Margit Feher",2013-11-28,NA,"Draghi Shares Exchange-Rate Views With Central Bankers; ECB Denies Chief Made Comments Hungarian Counterpart Attributed to Him","WSJO-131128-e","en","The Wall Street Journal"
"2586","Brian Blackstone",2013-11-25,NA,"ECB's Weidmann Warns Central Banks Might Be Too Dominated by Fiscal Concerns; Germany's Bundesbank Chief Says Monetary policy Runs Risk of Becoming Subject to Financial, Fiscal Dominance.","WSJO-131125-e","en","The Wall Street Journal"
"2587","Todd Buell",2013-11-22,NA,"ECB President Counters German Critics of Easy Money; 'Rates Are Low Because the Economy Is Weak,' Says Mario Draghi","WSJO-131122-e","en","The Wall Street Journal"
"2588","By Christopher Lawton and Andrea Thomas",2013-11-22,NA,"Europe News: Draghi Defends ECB","WSJE-131122-e","en","The Wall Street Journal"
"2589","By Stefan Wagstyl in Berlin",2013-11-21,NA,"Draghi hits at 'nationalistic' attacks on ECB rate cut move","FTCOM-131121-e","en","Financial Times"
"2590","By Brian Blackstone and Gabriele Steinhauser",2013-11-21,NA,"ECB Nominates French Regulator","J-131121-e","en","The Wall Street Journal"
"2591","By Christopher Lawton",2013-11-21,NA,"No Verdict This Year on ECB Bond Program; A Court is Deciding if the Program is Unconstitutional in Germany","WSJO-131121-e","en","The Wall Street Journal"
"2592","Christopher Lawton",2013-11-21,NA,"Draghi Defends Rate Cut to Boost 'Weak' Economy; ECB Chief Also Plays Down Hopes Negative Interest Rates May Come Soon","WSJO-131121-e","en","The Wall Street Journal"
"2593","By Sara Sjolin",2013-11-20,NA,"Market Report: Stocks Pull Back; Euro Gets ECB Lift","WSJE-131120-e","en","The Wall Street Journal"
"2594","By Christopher Lawton and Brian Blackstone",2013-11-20,NA,"Europe News: ECB Official Calls Asset Buys an Option","WSJE-131120-e","en","The Wall Street Journal"
"2595","By Christopher Thompson",2013-11-20,NA,"Lenders race to pay off ECB loans; CAPITAL MARKETS","FTFT-131120-e","en","Financial Times"
"2596","By Simon Nixon",2013-11-18,NA,"Europe News -- Agenda: Will ECB Break Its Bond-Buying Taboo?","WSJE-131118-e","en","The Wall Street Journal"
"2597","Simon Nixon",2013-11-17,NA,"Will ECB Break Its Bond-Buying Taboo?; Last week's euro-zone GDP data offered something for both sides of this debate.","WSJO-131117-e","en","The Wall Street Journal"
"2598",NA,2013-11-15,NA,"Pre-ECB review rush to raise capital continues","FTFT-131115-e","en","Financial Times"
"2599","By Brian Blackstone",2013-11-14,NA,"World News: Europe's Central Banks Go Separate Ways --- ECB Official Says More Steps Could Follow Rate Cut to Avoid Deflation, While Bank of England Gives Bullish Take on U.K.","J-131114-e","en","The Wall Street Journal"
"2600","By Peter Spiegel in Brussels and Stefan Wagstyl in Berlin",2013-11-11,NA,"ECB split stokes fears of German backlash; Frankfurt rate revolt deepens divisions","FTFT-131111-e","en","Financial Times"
"2601",NA,2013-11-09,NA,"False dawn rising; ECB rate cut shows rich world is still far from recovering","FTFT-131109-e","en","Financial Times"
"2602","By Norma Cohen",2013-11-09,NA,"Shift into Europe as ECB cuts rates; Equities","FTFT-131109-e","en","Financial Times"
"2603","By Peter Spiegel in Brussels",2013-11-09,NA,"ECB defies Berlin on banking union","FTFT-131109-e","en","Financial Times"
"2604","Heather Stewart",2013-11-08,NA,"ECB surprises markets by cutting eurozone interest rates to 0.25%","GRULTD-131107-e","en","The Guardian"
"2605","Larry Elliott",2013-11-08,NA,"Business analysis: Eurozone: ECB interest rate cut is just the beginning, says Larry Elliott","GRDN-131108-e","en","The Guardian"
"2606","Heather Stewart",2013-11-08,NA,"ECB's surprise rate cut to stem deflation threat: Record low of 0.25% is fillip for borrowers: Analysts say eurozone reforms are still needed","GRDN-131108-e","en","The Guardian"
"2607",NA,2013-11-08,NA,"ECB rate cut is only a first step; Frankfurt cannot revitalise the eurozone on its own","FTFT-131108-e","en","Financial Times"
"2608","By Claire Jones in London",2013-11-08,NA,"Deflation fears spark shock ECB rate cut; Euro tumbles on bold move by Draghi","FTFT-131108-e","en","Financial Times"
"2609","By Peter Spiegel in Brussels",2013-11-08,NA,"ECB on collision course with Germany on banking union","FTCOM-131108-e","en","Financial Times"
"2610","By Peter Spiegel in Brussels",2013-11-08,NA,"ECB on crash course with Berlin on banking union","FTCOM-131108-e","en","Financial Times"
"2611","Christopher Lawton",2013-11-08,NA,"ECB's Asmussen: Compromise Possible on Bank-Resolution Authority; EU Governments Pledge to Seal Deal by Year's End","WSJO-131108-e","en","The Wall Street Journal"
"2612","Phillip Inman",2013-11-07,NA,"Mario Draghi on the back foot as ECB considers eurozone policies","GRULTD-131106-e","en","The Guardian"
"2613","By Claire Jones, Economics Reporter",2013-11-07,NA,"Q and A: what caused the ECB to act","FTCOM-131107-e","en","Financial Times"
"2614","By Claire Jones, Economics Reporter",2013-11-07,NA,"Euro tumbles as European Central Bank cuts interest rates","FTCOM-131107-e","en","Financial Times"
